country,code,year,median_daily_income_or_consumption,median_annual_income_consumption
Albania,ALB,1996,7.4193306,1929.025956
Albania,ALB,2002,7.1171546,1850.460196
Albania,ALB,2005,8.300112,2158.02912
Albania,ALB,2008,8.9390335,2324.14871
Albania,ALB,2012,8.768968,2279.93168
Albania,ALB,2014,8.827485,2295.1461
Albania,ALB,2015,10.6873455,2778.70983
Albania,ALB,2016,10.9340105,2842.84273
Albania,ALB,2017,10.84116,2818.7016
Albania,ALB,2018,12.386626,3220.52276
Albania,ALB,2019,12.356349,3212.65074
Albania,ALB,2020,12.838601,3338.03626
Algeria,DZA,1988,6.293222,1636.23772
Algeria,DZA,1995,6.518008,1694.68208
Algeria,DZA,2011,9.114276,2369.71176
Angola,AGO,2000,5.30038,1378.0988
Angola,AGO,2008,5.334158,1386.88108
Angola,AGO,2018,3.8795104,1008.672704
Argentina (urban),,1980,27.129507,7053.67182
Argentina (urban),,1986,27.716042,7206.17092
Argentina (urban),,1987,24.42986,6351.7636
Argentina (urban),,1991,16.51407,4293.6582
Argentina (urban),,1992,17.271112,4490.48912
Argentina (urban),,1993,17.652037,4589.52962
Argentina (urban),,1994,17.068842,4437.89892
Argentina (urban),,1995,15.778318,4102.36268
Argentina (urban),,1996,15.137418,3935.72868
Argentina (urban),,1997,16.209293,4214.41618
Argentina (urban),,1998,14.829559,3855.68534
Argentina (urban),,1999,14.727661,3829.19186
Argentina (urban),,2000,14.007322,3641.90372
Argentina (urban),,2001,12.500795,3250.2067
Argentina (urban),,2002,8.575318,2229.58268
Argentina (urban),,2003,12.644422,3287.54972
Argentina (urban),,2004,14.657603,3810.97678
Argentina (urban),,2005,16.261774,4228.06124
Argentina (urban),,2006,18.578272,4830.35072
Argentina (urban),,2007,19.211332,4994.94632
Argentina (urban),,2008,20.088896,5223.11296
Argentina (urban),,2009,21.472273,5582.79098
Argentina (urban),,2010,22.07074,5738.3924
Argentina (urban),,2011,23.529959,6117.78934
Argentina (urban),,2012,23.87211,6206.7486
Argentina (urban),,2013,24.129427,6273.65102
Argentina (urban),,2014,21.966805,5711.3693
Argentina (urban),,2016,22.814356,5931.73256
Argentina (urban),,2017,24.032763,6248.51838
Argentina (urban),,2018,21.788387,5664.98062
Argentina (urban),,2019,20.6713,5374.538
Argentina (urban),,2020,18.155481,4720.42506
Argentina (urban),,2021,19.55321,5083.8346
Argentina (urban),,2022,18.891396,4911.76296
Argentina,,2023,18.541737,4820.85162
Armenia,ARM,1999,4.5130086,1173.382236
Armenia,ARM,2001,4.3352914,1127.175764
Armenia,ARM,2002,4.5468674,1182.185524
Armenia,ARM,2003,4.790289,1245.47514
Armenia,ARM,2004,5.5517464,1443.454064
Armenia,ARM,2005,6.250577,1625.15002
Armenia,ARM,2006,6.7100363,1744.609438
Armenia,ARM,2007,7.3534274,1911.891124
Armenia,ARM,2008,7.654393,1990.14218
Armenia,ARM,2009,6.8470354,1780.229204
Armenia,ARM,2010,6.8065257,1769.696682
Armenia,ARM,2011,7.1054845,1847.42597
